"","ARO","AB_BAL30072","AB_BPI","AB_Clofazimine","AB_G418","AB_GE2270A","AB_LFF571","AB_LysocinE","AB_acriflavine","AB_amikacin","AB_amoxicillin","AB_ampicillin","AB_apramycin","AB_arbekacin","AB_astromicin","AB_azidamfenicol","AB_azithromycin","AB_azlocillin","AB_aztreonam","AB_bacitracinA","AB_bacitracinB","AB_bacitracinF","AB_balofloxacin","AB_benzylpenicillin","AB_bleomycinA2","AB_bleomycinB2","AB_bleomycinicacid","AB_brodimoprim","AB_butirosin","AB_capreomycin","AB_carbenicillin","AB_cefaclor","AB_cefadroxil","AB_cefalexin","AB_cefalotin","AB_cefazolin","AB_cefdinir","AB_cefditoren","AB_cefepime","AB_cefixime","AB_cefmetazole","AB_cefonicid","AB_cefotaxime","AB_cefotetan","AB_cefotiam","AB_cefoxitin","AB_cefpodoxime","AB_cefprozil","AB_cefradine","AB_ceftaroline","AB_ceftazidime","AB_ceftibuten","AB_ceftiofur","AB_ceftizoxime","AB_ceftobiprole","AB_ceftolozane","AB_ceftriaxone","AB_cefuroxime","AB_cephaloridine","AB_cephapirin","AB_chalcomycin","AB_chloramphenicol","AB_chlortetracycline","AB_cinoxacin","AB_ciprofloxacin","AB_clarithromycin","AB_clinafloxacin","AB_clindamycin","AB_clorobiocin","AB_cloxacillin","AB_colistinA","AB_colistinB","AB_coumermycinA1","AB_dalfopristin","AB_dapsone","AB_daptomycin","AB_defensin","AB_demeclocycline","AB_dibekacin","AB_dicloxacillin","AB_dirithromycin","AB_doripenem","AB_doxycycline","AB_edeineA","AB_edeineB","AB_edeineD","AB_edeineF","AB_enacyloxinIIa","AB_enoxacin","AB_ertapenem","AB_erythromycin","AB_ethambutol","AB_factumycin","AB_fleroxacin","AB_flomoxef","AB_florfenicol","AB_flucloxacillin","AB_gatifloxacin","AB_gentamicinA","AB_gentamicinB","AB_gentamicinC","AB_grepafloxacin","AB_griseoviridin","AB_hygromycinB","AB_iclaprim","AB_imipenem","AB_isepamicin","AB_isopenicillinN","AB_josamycin","AB_kanamycinA","AB_kasugamycin","AB_kirromycin","AB_kitasamycin","AB_levofloxacin","AB_lincomycin","AB_linezolid","AB_linoleicacid","AB_lividomycinA","AB_lividomycinB","AB_lomefloxacin","AB_loracarbef","AB_madumycinII","AB_mafenide","AB_mecillinam","AB_meropenem","AB_methicillin","AB_methymycin","AB_metronidazole","AB_mezlocillin","AB_microcinJ25","AB_minocycline","AB_moenomycinA1","AB_moxalactam","AB_moxifloxacin","AB_nalidixicacid","AB_neomycin","AB_netilmicin","AB_nitrofurantoin","AB_norfloxacin","AB_novobiocin","AB_ofloxacin","AB_oleandomycin","AB_oleicacid","AB_ostreogrycinB3","AB_oxacillin","AB_oxytetracycline","AB_palmiticacid","AB_panipenem","AB_paromomycin","AB_patricinA","AB_pefloxacin","AB_penicillin","AB_penicillinN","AB_phenoxymethylpenicillin","AB_piperacillin","AB_plazomicin","AB_pleuromutilin","AB_polymyxinB1","AB_polymyxinB2","AB_polymyxinB3","AB_polymyxinB4","AB_pristinamycinIA","AB_pristinamycinIB","AB_pristinamycinIIA","AB_propicillin","AB_pulvomycin","AB_puromycin","AB_quinupristin","AB_quinupristindalfopristin","AB_ribostamycin","AB_rifabutin","AB_rifampin","AB_rifapentine","AB_rifaximin","AB_rokitamycin","AB_roxithromycin","AB_sisomicin","AB_sitafloxacin","AB_sparfloxacin","AB_spectinomycin","AB_spiramycin","AB_streptomycin","AB_streptothricin","AB_sulfacetamide","AB_sulfadiazine","AB_sulfadimidine","AB_sulfadoxine","AB_sulfamethizole","AB_sulfamethoxazole","AB_sulfasalazine","AB_sulfisoxazole","AB_teicoplanin","AB_telithromycin","AB_temocillin","AB_tetracycline","AB_tetroxoprim","AB_thiamphenicol","AB_thiostrepton","AB_tiamulin","AB_ticarcillin","AB_tigecycline","AB_tobramycin","AB_trimethoprim","AB_trimethoprimsulfamethoxazole","AB_trovafloxacin","AB_tuberactinomycin","AB_tunicamycin","AB_tylosin","AB_vancomycin","AB_vernamycinBgamma","AB_vernamycinC","AB_viomycin","AB_virginiamycinS2"
"11","ARO:3000124",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","ARO:3000149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","ARO:3000160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","ARO:3000165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"15","ARO:3000166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","ARO:3000167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","ARO:3000168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","ARO:3000172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","ARO:3000173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","ARO:3000174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
