	CARD_KENYA_30_SAMPLE_POOL_20M	CARD_KENYA_30_SAMPLE_POOL_50M	CARD_KENYA_30_SAMPLE_POOL	CARD_KENYA_POP_POOL_20M	CARD_KENYA_POP_POOL_50M	CARD_UK_30_SAMPLE_POOL_20M	CARD_UK_30_SAMPLE_POOL_50M	CARD_UK_30_SAMPLE_POOL	CARD_UK_POP_POOL_20M	CARD_UK_POP_POOL_50M
3002572_AB119105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004134_AB162858.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002593_AB164230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001897_AB176534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001898_AB177384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002030_AB194410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002211_AB196988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002212_AB204557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000753_AB204810	0.0	0.0	0.0	0.0	150.0	0.0	0.0	0.0	0.0	0.0
3001924_AB205197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002868_AB205645	149.0	149.0	140.125	142.95	142.647	0.0	0.0	0.0	149.167	145.147
3002895_AB211124	146.484	145.582	145.462	146.257	144.368	145.229	145.5	144.57	142.953	143.5
3003705_AB219523.1	146.713	146.144	146.293	146.808	148.232	150.0	146.548	146.938	149.0	145.143
3003704_AB219523.1	141.389	138.5	137.3	143.0	143.333	149.5	136.6	143.393	0.0	0.0
3003699_AB219524.1	146.216	147.052	145.977	148.417	146.058	143.625	148.019	148.034	150.0	149.667
3003698_AB219524.1	135.357	141.211	143.079	149.75	131.5	149.167	0.0	148.955	0.0	149.0
3003700_AB219524.1	142.525	146.94	143.568	131.25	141.8	150.0	141.667	139.5	0.0	0.0
3002665_AB261016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002048_AB280919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001925_AB284167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002037_AB300358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001115_AB302939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004674_AB304512.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000847_AB364006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002050_AB372224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001160_AB372881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002735_AB379831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002052_AB429270	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002574_AB462903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003954_AB467372.1	149.5	0.0	144.0	145.667	144.292	150.0	149.667	147.304	147.105	147.721
3004638_AB472901.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
