	CARD_KENYA_30_SAMPLE_POOL_20M	CARD_KENYA_30_SAMPLE_POOL_50M	CARD_KENYA_30_SAMPLE_POOL	CARD_KENYA_POP_POOL_20M	CARD_KENYA_POP_POOL_50M	CARD_UK_30_SAMPLE_POOL_20M	CARD_UK_30_SAMPLE_POOL_50M	CARD_UK_30_SAMPLE_POOL	CARD_UK_POP_POOL_20M	CARD_UK_POP_POOL_50M
3002563_AB116646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002572_AB119105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004134_AB162858.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002593_AB164230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001897_AB176534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001898_AB177384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002030_AB194410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002211_AB196988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002212_AB204557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000753_AB204810	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
3001924_AB205197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002868_AB205645	1.0	1.0	8.0	10.0	17.0	0.0	0.0	0.0	6.0	17.0
3002895_AB211124	32.0	73.0	276.0	35.0	76.0	24.0	70.0	244.0	32.0	71.0
3003705_AB219523.1	75.0	181.0	692.0	13.0	41.0	4.0	21.0	56.0	1.0	7.0
3003704_AB219523.1	9.0	12.0	55.0	2.0	3.0	3.0	5.0	14.0	0.0	0.0
3003699_AB219524.1	67.0	135.0	535.0	18.0	43.0	8.0	26.0	89.0	3.0	3.0
3003698_AB219524.1	7.0	19.0	82.0	2.0	5.0	3.0	0.0	11.0	0.0	1.0
3003700_AB219524.1	20.0	25.0	111.0	4.0	5.0	1.0	6.0	16.0	0.0	0.0
3002665_AB261016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002048_AB280919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001925_AB284167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
