lineage	KENYA_30_SAMPLE_POOL_20M.bracken	KENYA_30_SAMPLE_POOL_50M.bracken	KENYA_30_SAMPLE_POOL.bracken	KENYA_POP_POOL_20M.bracken	KENYA_POP_POOL_50M.bracken	UK_30_SAMPLE_POOL_20M.bracken	UK_30_SAMPLE_POOL_50M.bracken	UK_30_SAMPLE_POOL.bracken	UK_POP_POOL_20M.bracken	UK_POP_POOL_50M.bracken
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella huaxiensis	188	486	1873	191	458	1195	3229	11230	1163	2946
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella quasivariicola	208	499	1782	328	830	1259	3174	11295	657	1637
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella africana	146	366	1316	141	369	891	2105	7624	563	1433
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella grimontii	246	659	2308	310	790	3647	9081	33191	13198	33074
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pasteurii	15	50	137	22	51	169	359	1663	156	352
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella ornithinolytica	396	1025	3726	408	1080	6673	16933	60389	80529	200663
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella planticola	70	143	591	72	162	488	1183	4321	18673	46321
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella electrica	61	134	532	61	164	359	993	3485	959	2450
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella terrigena	51	112	412	47	131	284	708	2582	929	2369
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella sp. HC6	20	58	262	31	74	401	963	3429	284	783
